jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
4.5846e-04,0.0002,0.0020,0.0005,458.4561,1.0000,4.5846e-04
4.6004e-04,0.0002,0.0019,0.0004,460.0425,1.0000,4.6004e-04
4.6163e-04,0.0002,0.0018,0.0004,461.6288,1.0000,4.6163e-04
4.6321e-04,0.0001,0.0018,0.0004,463.2151,1.0000,4.6321e-04
4.6480e-04,0.0001,0.0017,0.0004,464.8014,1.0000,4.6480e-04
4.6639e-04,0.0001,0.0017,0.0004,466.3878,1.0000,4.6639e-04
4.6797e-04,0.0001,0.0016,0.0004,467.9741,1.0000,4.6797e-04
4.6956e-04,0.0001,0.0015,0.0004,469.5604,1.0000,4.6956e-04
4.7115e-04,0.0001,0.0015,0.0004,471.1467,1.0000,4.7115e-04
4.7273e-04,0.0001,0.0014,0.0003,472.7331,1.0000,4.7273e-04
4.7432e-04,0.0001,0.0014,0.0003,474.3194,1.0000,4.7432e-04
