jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
3.5600e-05,1.6056,19.2670,4.5363,40.1365,1.0000,3.5600e-05
3.5924e-05,1.5968,19.1618,4.5115,40.4353,1.0000,3.5924e-05
3.6247e-05,1.5880,19.0566,4.4868,40.7341,1.0000,3.6247e-05
3.6571e-05,1.5793,18.9514,4.4620,41.0330,1.0000,3.6571e-05
3.6895e-05,1.5705,18.8462,4.4372,41.3318,1.0000,3.6895e-05
3.7218e-05,1.5617,18.7410,4.4125,41.6306,1.0000,3.7218e-05
3.7542e-05,1.5530,18.6358,4.3877,41.9295,1.0000,3.7542e-05
3.7865e-05,1.5442,18.5306,4.3629,42.2283,1.0000,3.7865e-05
3.8189e-05,1.5354,18.4254,4.3382,42.5271,1.0000,3.8189e-05
3.8513e-05,1.5267,18.3201,4.3134,42.8260,1.0000,3.8513e-05
3.8836e-05,1.5179,18.2149,4.2886,43.1248,1.0000,3.8836e-05
3.9160e-05,1.5091,18.1097,4.2638,43.4236,1.0000,3.9160e-05
3.9483e-05,1.5004,18.0045,4.2391,43.7225,1.0000,3.9483e-05
3.9807e-05,1.4916,17.8993,4.2143,44.0213,1.0000,3.9807e-05
4.0131e-05,1.4828,17.7941,4.1895,44.3201,1.0000,4.0131e-05
4.0454e-05,1.4741,17.6889,4.1648,44.6190,1.0000,4.0454e-05
4.0778e-05,1.4653,17.5837,4.1400,44.9178,1.0000,4.0778e-05
4.1101e-05,1.4565,17.4785,4.1152,45.2166,1.0000,4.1101e-05
4.1425e-05,1.4478,17.3733,4.0905,45.5155,1.0000,4.1425e-05
4.1749e-05,1.4390,17.2681,4.0657,45.8143,1.0000,4.1749e-05
4.2072e-05,1.4302,17.1629,4.0409,46.1131,1.0000,4.2072e-05
4.2396e-05,1.4215,17.0577,4.0161,46.4120,1.0000,4.2396e-05
4.2719e-05,1.4127,16.9525,3.9914,46.7108,1.0000,4.2719e-05
4.3043e-05,1.4039,16.8473,3.9666,47.0096,1.0000,4.3043e-05
4.3367e-05,1.3952,16.7421,3.9418,47.3085,1.0000,4.3367e-05
4.3690e-05,1.3864,16.6369,3.9171,47.6073,1.0000,4.3690e-05
4.4014e-05,1.3776,16.5317,3.8923,47.9061,1.0000,4.4014e-05
4.4337e-05,1.3689,16.4264,3.8675,48.2050,1.0000,4.4337e-05
4.4661e-05,1.3601,16.3212,3.8427,48.5038,1.0000,4.4661e-05
4.4985e-05,1.3513,16.2160,3.8180,48.8026,1.0000,4.4985e-05
